# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	19937
#@/user_id	79fb09ba-e482-4a0b-8f97-bc33c2a34fd8
bi xian zai 	比現在	c=1 d=1 t=16978
bi xu 	必須	c=4 d=0.125556 t=19937
bi yao 	必要	c=1 d=1 t=19897
bi you jin you 	必有近憂	c=0 d=0.1 t=12659
bi yun tao 	避孕套	c=1 d=1 t=11939
bi zhe ge 	比這個	c=1 d=1.20506e-18 t=19937
bi zhi 	壁紙	c=1 d=0.00209124 t=19937
bi zhi qian 	比之前	c=1 d=1.92809e-18 t=19937
bian 	便	c=2 d=9.54016e-06 t=19937
bian 	編	c=0 d=6.9264e-05 t=19937
bian 	變	c=8 d=0.00364285 t=19937
bian 	遍	c=3 d=2.09603e-11 t=19937
bian 	邊	c=11 d=0.737145 t=19937
bian bu xia qu le 	編不下去了	c=1 d=0.000696112 t=19937
bian cheng 	變成	c=8 d=0.0399551 t=19937
bian de 	變得	c=1 d=1 t=17921
bian dong 	變動	c=1 d=3.08546e-20 t=19937
bian geng 	變更	c=3 d=0.0884122 t=19937
bian gu 	變故	c=1 d=1 t=12688
bian gua 	變卦	c=1 d=1 t=15860
bian hao 	編號	c=4 d=3.18325 t=16760
bian ji 	編輯	c=7 d=0.387209 t=19937
bian ji de 	編輯的	c=1 d=1 t=14047
bian ji qi 	編輯器	c=1 d=1 t=18331
bian ji xin xi 	編輯信息	c=1 d=0.0122773 t=19937
bian jiao liao 	邊角料	c=1 d=1.73473e-10 t=19937
bian le 	變了	c=1 d=1 t=10737
bian li 	遍歷	c=3 d=2.42621e-08 t=19937
bian liang 	變量	c=5 d=0.00253224 t=19937
bian ma 	編碼	c=1 d=4.45464e-17 t=19937
bian wei 	變爲	c=2 d=1 t=19442
bian yang 	變樣	c=0 d=2.47917e-06 t=19937
bian yang le 	變樣了	c=1 d=2.4916e-05 t=19937
bian yi 	編譯	c=1 d=1.93578e-06 t=19937
bian zhi liao 	邊治療	c=1 d=1.15742e-14 t=19937
biao 	表	c=30 d=0.148791 t=19937
biao da shi 	表達式	c=7 d=6.54215e-09 t=19937
biao dian 	標點	c=1 d=0.017953 t=19937
